episode_id,updated_at,episode_season_number,episode_number,user_id,show_character_id,created_at,fb_action_id,tv_show_name
5722832,2018-12-12 08:41:12,2,4,21667900,64607381,2018-12-12 08:41:12,,The Man in the High Castle
5722833,2018-12-12 09:38:06,2,5,21667900,64607396,2018-12-12 09:38:01,,The Man in the High Castle
5722834,2018-12-12 10:48:20,2,6,21667900,64607396,2018-12-12 10:48:20,,The Man in the High Castle
5722835,2018-12-13 04:43:06,2,7,21667900,64607421,2018-12-13 04:43:06,,The Man in the High Castle
5722836,2018-12-13 05:44:50,2,8,21667900,64607381,2018-12-13 05:44:50,,The Man in the High Castle
5722837,2018-12-14 05:08:27,2,9,21667900,64607390,2018-12-14 05:08:27,,The Man in the High Castle
5722838,2018-12-14 06:19:32,2,10,21667900,64607387,2018-12-14 06:19:32,,The Man in the High Castle
5738213,2019-06-11 04:34:40,1,4,21667900,63324809,2019-06-11 04:34:40,,The Good Place
5738214,2019-06-11 05:45:01,1,5,21667900,63324809,2019-06-11 05:45:01,,The Good Place
5738937,2018-12-25 06:14:40,2,2,21667900,64577222,2018-12-25 06:14:40,,Poldark (2015)
5738938,2018-12-25 09:55:28,2,3,21667900,64577211,2018-12-25 09:55:17,,Poldark (2015)
5738939,2018-12-25 11:11:21,2,4,21667900,64577227,2018-12-25 11:11:21,,Poldark (2015)
5738940,2018-12-25 16:30:25,2,5,21667900,64577211,2018-12-25 16:30:25,,Poldark (2015)
5738941,2018-12-26 05:53:54,2,6,21667900,64577233,2018-12-26 05:53:54,,Poldark (2015)
5738942,2018-12-26 09:15:59,2,7,21667900,64577235,2018-12-26 09:15:53,,Poldark (2015)
5738943,2018-12-26 11:23:04,2,8,21667900,64577227,2018-12-26 11:23:04,,Poldark (2015)
5738944,2018-12-26 16:31:13,2,9,21667900,64577227,2018-12-26 16:31:13,,Poldark (2015)
5738945,2018-12-27 05:23:50,2,10,21667900,64577227,2018-12-27 05:23:50,,Poldark (2015)
5745518,2019-06-11 08:04:56,1,6,21667900,63324809,2019-06-11 08:04:56,,The Good Place
5745521,2019-06-11 08:27:57,1,7,21667900,63324809,2019-06-11 08:27:57,,The Good Place
5745523,2019-06-11 08:52:36,1,8,21667900,63324809,2019-06-11 08:52:36,,The Good Place
